car_park_no,x_coord,y_coord,xy_coord,LatLng,Latitude,Longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
SB10,26005.1646,48235.1526,"26005.1646, 48235.1526","1.4524891250837018,103.81539294610464",1.4524891250837018,103.81539294610464,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N
SB11,26146.3836,48155.5365,"26146.3836, 48155.5365","1.451769119227357,103.81666194819871",1.451769119227357,103.81666194819871,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N
SB12,26413.575,48309.133,"26413.575, 48309.133","1.453158200059155,103.8190629261258",1.453158200059155,103.8190629261258,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB13,26120.0717,48440.4225,"26120.0717, 48440.4225","1.4543455105781413,103.81642548984553",1.4543455105781413,103.81642548984553,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB14,26232.1094,48224.2405,"26232.1094, 48224.2405","1.4523904558523102,103.81743227740712",1.4523904558523102,103.81743227740712,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N
SB15,26149.9066,47840.5307,"26149.9066, 47840.5307","1.4489203350510336,103.81669362674576",1.4489203350510336,103.81669362674576,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N
SB16,26218.5396,47769.2359,"26218.5396, 47769.2359","1.4482755783214634,103.81731036785169",1.4482755783214634,103.81731036785169,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N
SB17,26928.4878,48059.5679,"26928.4878, 48059.5679","1.4509012593528794,103.82368995410044",1.4509012593528794,103.82368995410044,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB18,25816.924,47840.9691,"25816.924, 47840.9691","1.4489242756603498,103.81370144296824",1.4489242756603498,103.81370144296824,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.05,N
SB19,26668.9418,48135.1503,"26668.9418, 48135.1503","1.4515847846514351,103.82135766640921",1.4515847846514351,103.82135766640921,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB2,26573.7982,47566.4296,"26573.7982, 47566.4296","1.4464415009477554,103.82050273333633",1.4464415009477554,103.82050273333633,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB20,26796.9569,47989.2006,"26796.9569, 47989.2006","1.4502648807005514,103.82250801855979",1.4502648807005514,103.82250801855979,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB21,25876.3743,48156.1255,"25876.3743, 48156.1255","1.4517744265927728,103.81423563984414",1.4517744265927728,103.81423563984414,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2.05,N
SB22,26549.9373,48088.2577,"26549.9373, 48088.2577","1.4511607010820882,103.8202882923728",1.4511607010820882,103.8202882923728,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB23,26338.6026,47963.0686,"26338.6026, 47963.0686","1.4500285299198563,103.81838924294766",1.4500285299198563,103.81838924294766,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB24,26912.8565,48215.9522,"26912.8565, 48215.9522","1.4523155348112742,103.82354948493399",1.4523155348112742,103.82354948493399,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB25,27050.5673,47980.1685,"27050.5673, 47980.1685","1.4501832078699297,103.82478696494638",1.4501832078699297,103.82478696494638,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
SB26,25986.3619,48674.0283,"25986.3619, 48674.0283","1.4564581369868832,103.81522395301988",1.4564581369868832,103.81522395301988,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB27,26228.1281,48691.4308,"26228.1281, 48691.4308","1.4566155346263734,103.81739647172486",1.4566155346263734,103.81739647172486,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
SB28,26032.4828,48496.9223,"26032.4828, 48496.9223","1.4548564657102083,103.81563840957794",1.4548564657102083,103.81563840957794,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
